barrio;año;poblacion_total;numero_hogares;area_ha;estrato_promedio;codigo_geo;deficit_habitacional
Barrio_6;2013;47635;8451;8.34;4;CG_247;2440
Barrio_6;2014;5850;1769;17.15;6;CG_448;311
Barrio_6;2015;39651;16906;3.23;4;CG_782;2027
Barrio_6;2016;41196;13419;12.32;5;CG_213;2113
Barrio_6;2017;36579;14901;15.23;5;CG_332;2403
Barrio_6;2018;37796;6762;9.81;5;CG_857;4512
Barrio_6;2019;29027;7747;14.17;1;CG_576;3173
Barrio_6;2020;19666;3500;5.88;6;CG_164;976
Barrio_6;2021;31633;5911;16.52;6;CG_551;2140
Barrio_6;2022;12614;4716;4.68;2;CG_657;254
Barrio_6;2023;8069;2286;0.95;1;CG_932;277
Barrio_6;2024;3648;728;4.27;6;CG_655;263
Barrio_6;2025;25412;10550;8.76;4;CG_590;2809
Barrio_7;2010;1342;238;9.83;1;CG_490;31
Barrio_7;2011;35089;7951;4.2;2;CG_372;896
Barrio_7;2012;26055;5085;2.87;4;CG_223;2267
Barrio_7;2013;6038;1585;2.43;6;CG_380;646
Barrio_7;2014;31848;6170;2.64;5;CG_319;2404
Barrio_7;2015;35233;7282;12.18;6;CG_559;4181
Barrio_7;2016;6643;1965;19.75;5;CG_538;234
Barrio_7;2017;41029;10704;6.17;3;CG_957;4836
Barrio_7;2018;12058;2403;9.46;2;CG_691;1169
Barrio_7;2019;39710;12594;18.63;3;CG_636;3385
Barrio_7;2020;44541;12625;17.58;3;CG_226;4756
Barrio_7;2021;15181;4335;15.24;2;CG_782;1440
Barrio_7;2022;28032;10697;17.43;6;CG_422;1070
Barrio_7;2023;40495;10014;0.55;3;CG_238;4322
Barrio_7;2024;27690;6967;1.69;4;CG_103;2659
Barrio_7;2025;17427;6031;7.03;4;CG_978;1990
Barrio_8;2010;29292;6160;1.03;6;CG_502;3148
Barrio_8;2011;13078;5453;12.77;4;CG_532;1041
Barrio_8;2012;17833;3198;16.95;6;CG_679;1437
Barrio_8;2013;9066;1513;14.66;2;CG_105;453
Barrio_8;2014;45605;20596;0.61;6;CG_676;1025
Barrio_8;2015;29183;13053;4.34;2;CG_368;3228
Barrio_8;2016;14601;2751;8.1;3;CG_403;387
Barrio_8;2017;15841;6351;8.93;6;CG_162;322
Barrio_8;2018;49956;16824;10.69;4;CG_778;4682
Barrio_8;2019;37007;6266;1.57;4;CG_127;3552
Barrio_8;2020;15772;3829;19.14;6;CG_593;646
Barrio_8;2021;19715;4484;9.82;5;CG_136;1657
Barrio_8;2022;9963;1878;6.81;3;CG_432;645
Barrio_8;2023;24670;7253;2.73;3;CG_962;779
Barrio_8;2024;6775;1976;10.61;1;CG_221;272
Barrio_8;2025;33347;12162;1.13;1;CG_798;1621
Barrio_9;2010;45605;16102;13.01;2;CG_720;2878
Barrio_9;2011;14414;3379;3.31;4;CG_853;629
Barrio_9;2012;10423;4204;18.67;2;CG_133;445
Barrio_9;2013;22062;9916;5.76;6;CG_997;1833
Barrio_9;2014;48007;9766;13.06;3;CG_649;2603
Barrio_9;2015;36297;6845;12.79;4;CG_214;3851
Barrio_9;2016;15105;2961;0.61;5;CG_171;1781
Barrio_9;2017;7510;2855;18.03;2;CG_403;308
Barrio_9;2018;48127;18540;14.49;5;CG_186;5628
Barrio_9;2019;44372;18141;16.39;3;CG_110;4887
Barrio_9;2020;29821;9344;3.61;2;CG_976;2579
Barrio_9;2021;48459;14132;2.27;5;CG_222;4440
Barrio_9;2022;25785;12010;18.54;4;CG_360;926
Barrio_9;2023;35051;6097;8.44;5;CG_571;3711
Barrio_9;2024;37199;8029;6.78;3;CG_733;2588
Barrio_9;2025;34745;7663;13.95;5;CG_898;2817
Barrio_10;2010;45094;15815;15.41;5;CG_556;2168
Barrio_10;2011;36242;7742;14.59;6;CG_778;895
Barrio_10;2012;30420;10210;12.54;5;CG_807;2372
Barrio_10;2013;19979;3643;2.93;5;CG_492;1203
Barrio_10;2014;5361;934;17.59;3;CG_684;183
Barrio_10;2015;17869;4888;9.79;2;CG_400;1717
Barrio_10;2016;32060;13487;6.27;4;CG_881;2980
Barrio_10;2017;40857;11849;0.79;2;CG_940;2275
Barrio_10;2018;5867;2118;12.09;3;CG_898;537
Barrio_10;2019;2875;1100;18.67;5;CG_906;293
Barrio_10;2020;6237;1363;14.66;5;CG_706;365
Barrio_10;2021;8380;2426;2.26;1;CG_990;655
Barrio_10;2022;46462;9397;13.63;6;CG_749;3647
Barrio_10;2023;47198;14139;12.87;3;CG_638;3920
Barrio_10;2024;48239;8061;9.58;1;CG_673;5146
Barrio_10;2025;29642;7396;14.6;2;CG_949;3215
Barrio_11;2010;3031;988;1.69;5;CG_892;282
Barrio_11;2011;5739;1228;11.05;2;CG_427;151
Barrio_11;2012;25826;10572;13.63;5;CG_299;1896
Barrio_11;2013;33812;7890;18.88;2;CG_980;3194
Barrio_11;2014;40582;14422;6.97;1;CG_193;1629
Barrio_11;2015;39402;11344;16.6;4;CG_815;2277
Barrio_11;2016;39660;17724;6.69;2;CG_723;3818
Barrio_11;2017;15572;3362;7.51;4;CG_645;835
Barrio_11;2018;28090;4752;0.68;4;CG_879;1688
Barrio_11;2019;19926;3905;4.33;6;CG_621;1124
Barrio_11;2020;7286;3143;6.17;6;CG_771;600
Barrio_11;2021;955;163;18.87;4;CG_395;78
Barrio_11;2022;39252;6889;7.21;5;CG_667;3849
Barrio_11;2023;18674;4404;0.7;6;CG_546;1263
Barrio_11;2024;22095;6715;8.2;3;CG_733;2002
Barrio_11;2025;18060;8375;6.34;4;CG_535;1172
Barrio_12;2010;8836;1480;19.15;6;CG_614;300
Barrio_12;2011;38319;6922;16.39;2;CG_654;3401
Barrio_12;2012;14060;5703;18.75;2;CG_537;1311
Barrio_12;2013;16976;5121;5.14;2;CG_656;914
Barrio_12;2014;48942;20669;3.41;5;CG_516;3000
Barrio_12;2015;11973;4117;1.91;2;CG_738;1312
Barrio_12;2016;25724;8280;10.03;1;CG_156;1700
Barrio_12;2017;7227;1319;14.24;2;CG_754;210
Barrio_12;2018;8942;1789;17.84;2;CG_880;285
Barrio_12;2019;5164;1699;16.97;1;CG_684;513
Barrio_12;2020;40518;11805;2.46;4;CG_688;4858
Barrio_12;2021;1757;772;13.8;2;CG_871;136
Barrio_12;2022;21674;5998;11.76;5;CG_210;756
Barrio_12;2023;42966;17062;8.37;1;CG_640;1019
Barrio_12;2024;29713;11530;1.68;6;CG_463;3291
Barrio_12;2025;31003;9008;0.62;4;CG_318;2297
Barrio_13;2010;41239;8478;5.41;2;CG_538;2395
Barrio_13;2011;42430;10127;15.59;3;CG_533;3093
Barrio_13;2012;19763;6532;3.88;1;CG_283;938
Barrio_13;2013;23072;4397;13.51;2;CG_310;2644
Barrio_13;2014;44075;8688;11.69;3;CG_863;3735
Barrio_13;2015;14736;3133;12.16;5;CG_285;781
Barrio_13;2016;32078;5826;3.04;6;CG_855;1406
Barrio_13;2017;26814;5305;9.31;6;CG_315;2278
Barrio_13;2018;48330;10022;2.86;1;CG_895;2257
Barrio_13;2019;4488;862;4.35;3;CG_902;324
Barrio_13;2020;40953;7055;9.15;1;CG_753;2561
Barrio_13;2021;12640;2619;17.07;6;CG_581;795
Barrio_13;2022;3338;1540;13.23;4;CG_530;337
Barrio_13;2023;36845;6885;18.01;1;CG_920;2177
Barrio_13;2024;35500;13578;8.27;6;CG_331;1560
Barrio_13;2025;3381;975;14.46;5;CG_460;363
Barrio_14;2010;40950;11366;1.07;1;CG_713;1538
Barrio_14;2011;44912;11879;19.59;1;CG_649;5159
Barrio_14;2012;33097;9284;2.19;3;CG_502;2852
Barrio_14;2013;21851;4628;11.67;6;CG_846;1048
Barrio_14;2014;23881;5707;4.64;3;CG_819;1611
Barrio_14;2015;14141;3627;12.93;1;CG_117;785
Barrio_14;2016;25587;4732;3.72;6;CG_317;2231
Barrio_14;2017;2944;608;16.41;3;CG_671;330
Barrio_14;2018;15785;4203;18.56;6;CG_255;1606
Barrio_14;2019;15221;5106;19.34;5;CG_736;519
Barrio_14;2020;35218;8456;6.13;1;CG_998;914
Barrio_14;2021;11821;3914;18.46;6;CG_965;249
Barrio_14;2022;20130;5268;1.34;3;CG_722;1482
Barrio_14;2023;31789;9263;17.23;6;CG_551;1989
Barrio_14;2024;5853;1862;2.69;1;CG_656;300
Barrio_14;2025;43636;10433;16.07;1;CG_395;2304
Barrio_15;2010;44352;10130;16.61;5;CG_203;3044
Barrio_15;2011;37609;7102;18.91;4;CG_241;826
Barrio_15;2012;48156;16162;13.49;1;CG_238;4779
Barrio_15;2013;25651;5006;17.3;6;CG_939;1159
Barrio_15;2014;42045;16605;19.9;6;CG_892;3852
Barrio_15;2015;17292;7068;12.26;4;CG_701;2016
Barrio_15;2016;12508;2403;5.05;4;CG_798;582
Barrio_15;2017;20538;5766;17.37;3;CG_142;1314
Barrio_15;2018;32345;5609;12.55;6;CG_165;3840
Barrio_15;2019;39523;8681;8.16;4;CG_255;2713
Barrio_15;2020;1169;201;17.98;3;CG_589;138
Barrio_15;2021;32781;7104;11.27;6;CG_100;2473
Barrio_15;2022;44638;11513;5.75;4;CG_653;3164
Barrio_15;2023;48745;11167;12.59;5;CG_903;1892
Barrio_15;2024;23812;4828;13.8;2;CG_696;1635
Barrio_15;2025;36569;10289;18.67;1;CG_934;2871
Barrio_16;2010;45799;11545;13.59;3;CG_350;4459
Barrio_16;2011;26020;6115;13.8;2;CG_971;3056
Barrio_16;2012;46069;12270;7.21;3;CG_184;3074
Barrio_16;2013;42928;9879;18.9;3;CG_896;4537
Barrio_16;2014;27913;6361;1.85;3;CG_292;2251
Barrio_16;2015;49228;14257;4.22;1;CG_749;3831
Barrio_16;2016;6754;1148;11.4;3;CG_112;481
Barrio_16;2017;39379;7799;5.64;4;CG_528;3949
Barrio_16;2018;36743;13543;19.36;2;CG_889;753
Barrio_16;2019;22641;4315;19.08;2;CG_402;623
Barrio_16;2020;36475;12674;19.14;2;CG_218;1379
Barrio_16;2021;23884;4152;2.8;6;CG_149;820
Barrio_16;2022;14378;6606;4.76;2;CG_200;896
Barrio_16;2023;17488;3332;5.43;3;CG_851;528
Barrio_16;2024;20971;4031;4.85;2;CG_928;1884
Barrio_16;2025;32526;5760;10.15;4;CG_387;3486
Barrio_17;2010;24617;9622;7.07;3;CG_317;600
Barrio_17;2011;30759;7541;8.54;6;CG_294;1796
Barrio_17;2012;26818;13290;19.81;3;CG_143;544
Barrio_17;2013;49305;23289;0.56;4;CG_663;1031
Barrio_17;2014;26867;10477;15.34;2;CG_545;712
Barrio_17;2015;31636;7933;4.46;5;CG_460;3698
Barrio_17;2016;19347;5985;1.2;1;CG_374;408
Barrio_17;2017;45334;9223;13.01;3;CG_684;2097
Barrio_17;2018;32066;12361;19.01;1;CG_617;3208
Barrio_17;2019;46171;17009;9.67;3;CG_389;4747
Barrio_17;2020;801;155;3.83;1;CG_269;74
Barrio_17;2021;38540;6674;13.1;1;CG_178;3422
Barrio_17;2022;28366;6875;16.26;4;CG_402;2054
Barrio_17;2023;8466;2271;8.02;1;CG_102;694
Barrio_17;2024;33763;5713;10.75;2;CG_547;1326
Barrio_17;2025;49526;9010;6.01;5;CG_696;1099
Barrio_18;2010;23701;6923;17.84;5;CG_950;2702
Barrio_18;2011;36852;9154;16.29;3;CG_760;1761
Barrio_18;2012;22185;7064;12.43;2;CG_461;1776
Barrio_18;2013;11102;4025;19.16;2;CG_459;406
Barrio_18;2014;32723;15113;12.44;1;CG_298;697
Barrio_18;2015;33495;7742;8.43;3;CG_803;3914
Barrio_18;2016;38342;14743;1.07;1;CG_878;1705
Barrio_18;2017;18709;4733;1.02;3;CG_577;1662
Barrio_18;2018;10965;3455;18.96;5;CG_371;1146
Barrio_18;2019;30043;5540;11.67;6;CG_672;844
Barrio_18;2020;35772;10850;2.27;5;CG_970;1869
Barrio_18;2021;1658;280;16.49;5;CG_462;185
Barrio_18;2022;45684;8953;16.42;6;CG_226;3948
Barrio_18;2023;33725;11646;3.11;3;CG_853;3855
Barrio_18;2024;33378;6860;7.51;3;CG_448;702
Barrio_18;2025;17418;3558;7.58;5;CG_772;1400
Barrio_19;2010;44531;16526;8.72;6;CG_832;2897
Barrio_19;2011;23928;4203;14.86;3;CG_881;2493
Barrio_19;2012;28869;8394;17.42;6;CG_679;1878
Barrio_19;2013;13245;2956;1.51;4;CG_120;894
Barrio_19;2014;30585;13426;4.24;3;CG_248;2726
Barrio_19;2015;42548;7271;6.42;6;CG_618;3443
Barrio_19;2016;43692;7433;15.37;3;CG_438;1166
Barrio_19;2017;7526;1524;18.87;5;CG_603;638
Barrio_19;2018;12831;3523;9.59;3;CG_674;349
Barrio_19;2019;32441;5706;17.88;4;CG_877;1848
Barrio_19;2020;30652;9041;9.02;3;CG_622;1817
Barrio_19;2021;20907;7028;14.29;2;CG_604;1377
Barrio_19;2022;22108;10103;1.15;6;CG_817;2554
Barrio_19;2023;46253;18546;9.68;4;CG_135;2674
Barrio_19;2024;45464;7687;14.47;3;CG_303;4830
Barrio_19;2025;49907;14240;10.78;4;CG_466;3420
Barrio_20;2010;20023;5153;11.33;6;CG_396;1586
Barrio_20;2011;26406;6879;11.67;1;CG_580;905
Barrio_20;2012;43929;15192;13.91;6;CG_384;3670
Barrio_20;2013;31431;5702;3.55;5;CG_809;1715
Barrio_20;2014;13913;2590;18.49;1;CG_561;674
Barrio_20;2015;10302;4944;8.62;6;CG_698;651
Barrio_20;2016;20536;4163;5.04;3;CG_397;1541
Barrio_20;2017;13387;6002;6.62;2;CG_127;1537
Barrio_20;2018;35812;12761;18.44;5;CG_446;2908
Barrio_20;2019;16813;7669;12.81;3;CG_441;1119
Barrio_20;2020;13202;4007;12.4;2;CG_805;770
Barrio_20;2021;25895;5566;6.51;5;CG_419;2978
Barrio_20;2022;10709;3880;2.87;2;CG_283;613
Barrio_20;2023;28022;10437;9.89;2;CG_161;1751
Barrio_20;2024;37095;16855;1.31;2;CG_472;2027
Barrio_20;2025;3712;887;7.23;5;CG_639;121
Barrio_21;2010;15835;3524;9.82;6;CG_981;1424
Barrio_21;2011;8079;1529;6.21;3;CG_405;637
Barrio_21;2012;30147;12671;9.21;5;CG_978;1727
Barrio_21;2013;3698;948;13.68;2;CG_574;145
Barrio_21;2014;16542;5847;4.97;6;CG_788;643
Barrio_21;2015;32998;10024;14.41;3;CG_596;877
Barrio_21;2016;49304;23154;19.97;5;CG_154;5846
Barrio_21;2017;24667;4587;16.48;5;CG_579;2721
Barrio_21;2018;10256;3995;12.93;5;CG_338;502
Barrio_21;2019;48275;10040;1.4;6;CG_350;3381
Barrio_21;2020;1643;467;13.36;6;CG_981;129
Barrio_21;2021;1784;440;3.14;4;CG_626;95
Barrio_21;2022;41202;7346;10.39;3;CG_585;1397
Barrio_21;2023;24561;4954;4.61;1;CG_632;1585
Barrio_21;2024;22843;3946;11.92;5;CG_372;1153
Barrio_21;2025;22984;4150;15.66;5;CG_703;1167
Barrio_22;2010;33466;7672;15.76;5;CG_105;1370
Barrio_22;2011;8107;3701;17.94;3;CG_643;475
Barrio_22;2012;47840;13290;9.17;4;CG_477;1811
Barrio_22;2013;24296;7084;12.72;3;CG_891;2874
Barrio_22;2014;782;244;10.76;4;CG_966;66
Barrio_22;2015;34293;7571;4.92;1;CG_886;1668
Barrio_22;2016;41226;7191;5.64;2;CG_658;1275
Barrio_22;2017;7885;1615;18.64;2;CG_853;677
Barrio_22;2018;37031;9031;11.51;6;CG_248;2986
Barrio_22;2019;37430;6398;15.23;6;CG_869;1003
Barrio_22;2020;7603;2843;4.52;3;CG_271;461
Barrio_22;2021;11243;5235;6.26;6;CG_135;840
Barrio_22;2022;14446;5273;1.26;3;CG_874;1287
Barrio_22;2023;36884;16048;7.34;6;CG_473;3026
Barrio_22;2024;13364;3060;12.31;6;CG_189;825
Barrio_22;2025;18779;5916;18.36;6;CG_443;2233
Barrio_23;2010;35086;8646;6.7;2;CG_588;1438
Barrio_23;2011;48108;11529;3.23;1;CG_411;1489
Barrio_23;2012;49400;16565;18.68;4;CG_593;4797
Barrio_23;2013;30093;7171;5.91;4;CG_914;851
Barrio_23;2014;39372;7749;9.84;3;CG_914;3164
Barrio_23;2015;17306;3202;6.03;5;CG_483;407
Barrio_23;2016;33256;9702;5.44;6;CG_281;1760
Barrio_23;2017;23589;8566;10.12;4;CG_210;1119
Barrio_23;2018;43561;8521;2.72;4;CG_553;3570
Barrio_23;2019;34417;7819;19.87;2;CG_430;3845
Barrio_23;2020;23890;8416;11.92;1;CG_235;484
Barrio_23;2021;39586;7732;9.98;1;CG_696;1559
Barrio_23;2022;18323;5450;15.89;1;CG_349;1587
Barrio_23;2023;39389;6956;10.69;2;CG_458;1035
Barrio_23;2024;45994;7951;4.35;1;CG_155;3344
Barrio_23;2025;7050;3037;11.86;2;CG_886;173
Barrio_24;2010;25536;5157;3.29;1;CG_619;2713
Barrio_24;2011;2088;631;7.75;5;CG_353;219
Barrio_24;2012;29906;14846;15.4;1;CG_641;3554
Barrio_24;2013;30643;6848;8.69;2;CG_135;3393
Barrio_24;2014;29335;5249;15.96;2;CG_852;3199
Barrio_24;2015;28725;5334;9.29;3;CG_671;996
Barrio_24;2016;12501;4172;7.58;6;CG_172;1262
Barrio_24;2017;12183;2474;10.49;5;CG_654;744
Barrio_24;2018;14574;4909;11.23;2;CG_406;983
Barrio_24;2019;30623;6897;19.65;2;CG_444;1366
Barrio_24;2020;46491;19054;4.41;1;CG_661;2149
Barrio_24;2021;36061;12365;19.68;5;CG_353;894
Barrio_24;2022;15557;5271;3.99;3;CG_369;464
Barrio_24;2023;10381;2270;16.74;4;CG_591;1221
Barrio_24;2024;37054;7822;2.49;3;CG_317;2236
Barrio_24;2025;22735;5174;8.65;4;CG_469;2655
Barrio_25;2010;41601;14795;18.12;5;CG_108;4301
Barrio_25;2011;47097;8146;6.24;2;CG_888;3419
Barrio_25;2012;43320;12128;7.35;4;CG_344;4686
Barrio_25;2013;21568;5657;9.74;5;CG_103;2487
Barrio_25;2014;18586;3239;11.01;5;CG_529;851
Barrio_25;2015;45412;13089;18.43;6;CG_676;1643
Barrio_25;2016;49052;13546;2.16;5;CG_918;1284
Barrio_25;2017;22312;9605;0.89;6;CG_670;1207
Barrio_25;2018;43603;7891;8.85;4;CG_452;3391
Barrio_25;2019;12847;2843;15.92;2;CG_195;672
Barrio_25;2020;5542;1255;1.14;1;CG_949;389
Barrio_25;2021;29238;6179;2.85;4;CG_254;1822
Barrio_25;2022;31393;8539;6.1;2;CG_889;655
Barrio_25;2023;32774;6126;18.64;6;CG_828;3442
Barrio_25;2024;21969;4222;17.25;2;CG_142;531
Barrio_25;2025;8185;3108;11.92;6;CG_319;223
Barrio_26;2010;13216;5773;19.66;6;CG_155;1436
Barrio_26;2011;19843;4431;14.62;4;CG_109;865
Barrio_26;2012;39980;14513;6.59;2;CG_667;3473
Barrio_26;2013;47384;8923;19.87;6;CG_420;3937
Barrio_26;2014;43439;14145;16.0;4;CG_501;5101
Barrio_26;2015;30765;14927;19.82;1;CG_938;3638
Barrio_26;2016;35368;6948;5.36;3;CG_271;1842
Barrio_26;2017;20619;3777;3.43;5;CG_426;1568
Barrio_26;2018;4970;1318;14.88;3;CG_585;298
Barrio_26;2019;42678;15234;3.44;6;CG_352;3895
Barrio_26;2020;4159;756;16.77;4;CG_350;244
Barrio_26;2021;17428;4412;8.86;5;CG_206;668
Barrio_26;2022;28764;6508;12.52;6;CG_531;2365
Barrio_26;2023;2682;640;12.36;5;CG_146;88
Barrio_26;2024;23929;4565;15.24;5;CG_323;1075
Barrio_26;2025;17828;5383;13.56;5;CG_394;1517
Barrio_27;2010;11603;2074;9.07;6;CG_897;309
Barrio_27;2011;15766;3828;19.67;6;CG_730;1653
Barrio_27;2012;10758;3167;5.17;1;CG_407;334
Barrio_27;2013;48858;12753;8.38;4;CG_975;2305
Barrio_27;2014;35169;6113;15.52;2;CG_836;2692
Barrio_27;2015;13866;2646;15.38;3;CG_147;1470
Barrio_27;2016;24576;8415;8.84;1;CG_939;515
Barrio_27;2017;41620;7816;4.79;3;CG_702;4147
Barrio_27;2018;17961;5976;6.98;5;CG_633;2144
Barrio_27;2019;24060;5686;16.09;6;CG_170;517
Barrio_27;2020;16169;6443;8.44;4;CG_444;476
Barrio_27;2021;30414;8264;16.17;3;CG_255;2065
Barrio_27;2022;1943;715;15.2;5;CG_323;192
Barrio_27;2023;20764;3959;20.0;5;CG_750;1711
Barrio_27;2024;9710;1694;5.97;5;CG_520;692
Barrio_27;2025;48988;11530;5.36;6;CG_864;2830
Barrio_28;2010;4604;823;15.26;1;CG_151;340
Barrio_28;2011;33977;9534;16.1;1;CG_546;3096
Barrio_28;2012;9048;4350;1.36;2;CG_231;744
Barrio_28;2013;27580;9744;2.96;1;CG_383;2842
Barrio_28;2014;39820;9423;19.25;6;CG_561;4662
Barrio_28;2015;11301;4759;14.56;2;CG_519;1028
Barrio_28;2016;6047;1103;17.79;3;CG_212;688
Barrio_28;2017;13505;5303;6.78;2;CG_153;1446
Barrio_28;2018;13833;2580;2.04;6;CG_573;1060
Barrio_28;2019;29432;5139;1.89;4;CG_827;2177
Barrio_28;2020;33870;14747;6.84;1;CG_190;2842
Barrio_28;2021;28124;10604;0.61;5;CG_228;2114
Barrio_28;2022;48907;8169;10.84;5;CG_967;4220
Barrio_28;2023;23044;10153;9.14;2;CG_229;1632
Barrio_28;2024;43148;7790;18.42;2;CG_885;4233
Barrio_28;2025;7505;2059;10.16;6;CG_858;388
Barrio_29;2010;2851;674;15.4;3;CG_738;341
Barrio_29;2011;46260;8103;14.74;2;CG_658;5057
Barrio_29;2012;39212;8189;0.98;2;CG_426;843
Barrio_29;2013;3570;648;8.27;4;CG_883;371
Barrio_29;2014;810;197;11.55;3;CG_628;34
Barrio_29;2015;44314;15437;5.83;2;CG_640;1541
Barrio_29;2016;29490;7993;19.23;5;CG_654;2014
Barrio_29;2017;25029;7305;6.23;5;CG_897;2285
Barrio_29;2018;22964;4216;5.5;2;CG_287;1766
Barrio_29;2019;32129;13765;10.35;6;CG_600;1649
Barrio_29;2020;6999;1751;15.76;1;CG_321;365
Barrio_29;2021;40626;9013;17.97;4;CG_363;2183
Barrio_29;2022;47436;8429;19.49;6;CG_241;3524
Barrio_29;2023;5138;2193;2.59;1;CG_280;492
Barrio_29;2024;1219;274;11.36;5;CG_297;35
Barrio_29;2025;32690;7878;6.65;4;CG_348;2579
Barrio_30;2010;1700;701;17.19;4;CG_823;89
Barrio_30;2011;23703;9464;15.05;5;CG_772;1483
Barrio_30;2012;954;184;15.12;5;CG_191;95
Barrio_30;2013;35927;12646;15.9;1;CG_463;2159
Barrio_30;2014;45789;15583;16.12;1;CG_134;1259
Barrio_30;2015;36017;15409;16.31;5;CG_439;3676
